Unnamed: 0,期刊名称,期刊官网,RSS链接（中文直接在知网上复制RSS链接）,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,备注,Unnamed: 12,Unnamed: 13,是否完成,source_type
1,中国社会科学,,"https://rss.cnki.net/knavi/rss/ZSHK?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
2,经济研究,,"https://rss.cnki.net/knavi/rss/JJYJ?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
3,世界经济,,"https://rss.cnki.net/knavi/rss/SJJJ?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
4,经济学（季刊）,https://navi.cnki.net/knavi/detail?p=utayN1oUkTbvqrDaZ6JV0YO5smi_ft_qt1aM3r2bx4bLqj2mbwm2TbHPQQuempjK8jpTO3P6rz9FAaN0qHFxkJAlhBSVZw5nRhUQiEsh46I=&uniplatform=NZKPT,"https://rss.cnki.net/knavi/rss/JJXU?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
5,管理科学学报,,"https://rss.cnki.net/knavi/rss/JCYJ?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
6,管理世界,,"https://rss.cnki.net/knavi/rss/GLSJ?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
7,中国工业经济,,"https://rss.cnki.net/knavi/rss/GGYY?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
8,金融研究,,"https://rss.cnki.net/knavi/rss/JRYJ?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
9,会计研究,,"https://rss.cnki.net/knavi/rss/KJYJ?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
10,数量经济与技术经济研究,,"https://rss.cnki.net/knavi/rss/SLJY?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
11,经济学动态,,"https://rss.cnki.net/knavi/rss/JJXD?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
12,中国经济史研究,,"https://rss.cnki.net/knavi/rss/ZJSY?pcode=CJFD,CCJD",,,,,,,,摘要不全,,,,cnki
13,American Economic Review,,,,,,,,,,,,,,
14,Journal of Political Economy,,https://www.journals.uchicago.edu/action/showFeed?type=etoc&feed=rss&jc=jpe,,,,,,,,缺摘要、作者,,,,chicago
15,Quarterly Journal of Economics,,https://academic.oup.com/rss/site_5504/3365.xml,,,,,,,,缺作者,,,,oxford
16,Review of Economic Studies,,https://academic.oup.com/rss/site_5508/3369.xml,,,,,,,,缺作者,,,,oxford
17,Economic Journal,,https://academic.oup.com/rss/site_6182/4014.xml,,,,,,,,缺作者,,,,oxford
18,International Economic Review,,https://onlinelibrary.wiley.com/feed/14682354/most-recent,,,,,,,,信息齐全,,,已完成,wiley
19,Journal of Financial Economics,,https://rss.sciencedirect.com/publication/science/0304405X,,,,,,,,缺摘要,,,,sciencedirect
20,Review of Financial Studies,,https://academic.oup.com/rss/site_5511/3372.xml,,,,,,,,缺作者,,,,oxford
21,Journal of Comparative Economics,,https://rss.sciencedirect.com/publication/science/01475967,,,,,,,,缺摘要,,,,sciencedirect
22,Journal of Development Economics,,https://rss.sciencedirect.com/publication/science/03043878,,,,,,,,缺摘要,,,,sciencedirect
23,Journal of Economic Behavior and Organization,,https://rss.sciencedirect.com/publication/science/01672681,,,,,,,,缺摘要,,,,sciencedirect
